Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0
